lin_x,lin_y,lin_x,ang_x,ang_y,ang_z
0.206404,0,0,0,0,-0.777818
0.200987,0,0,0,0,-0.629272
0.204091,0,0,0,0,-0.566729
0.215297,0,0,0,0,-0.570413
0.216526,0,0,0,0,-0.557497
0.210737,0,0,0,0,-0.548718
0.204947,0,0,0,0,-0.535548
0.199158,0,0,0,0,-0.5136
0.2054,0,0,0,0,-0.519861
0.216346,0,0,0,0,-0.492887
0.2193,0,0,0,0,-0.416629
0.218775,0,0,0,0,-0.377758
0.211895,0,0,0,0,-0.373128
0.201474,0,0,0,0,-0.373128
0.198177,0,0,0,0,-0.367848
0.209385,0,0,0,0,-0.320886
0.219629,0,0,0,0,-0.260319
0.22,0,0,0,0,-0.241436
0.216526,0,0,0,0,-0.241435
0.210102,0,0,0,0,-0.215973
0.20738,0,0,0,0,-0.146127
0.211488,0,0,0,0,-0.105742
0.217087,0,0,0,0,-0.0896463
0.218806,0,0,0,0,-0.0180113
0.218227,0,0,0,0,0.0846098
0.218731,0,0,0,0,0.131829
0.217292,0,0,0,0,0.128961
0.214046,0,0,0,0,0.114574
0.216555,0,0,0,0,0.0658518
0.215262,0,0,0,0,0.0272313
0.209045,0,0,0,0,0.0474644
0.208871,0,0,0,0,0.122137
0.214036,0,0,0,0,0.184416
0.218842,0,0,0,0,0.175589
0.219907,0,0,0,0,0.132025
0.214011,0,0,0,0,0.106313
0.209538,0,0,0,0,0.0659821
0.209644,0,0,0,0,0.025848
0.207363,0,0,0,0,-0.00624034
0.208591,0,0,0,0,-0.0799589
0.215439,0,0,0,0,-0.139564
0.219238,0,0,0,0,-0.119698
0.219121,0,0,0,0,-0.0702282
0.215747,0,0,0,0,-0.0444818
0.209526,0,0,0,0,-0.0536205
0.212174,0,0,0,0,-0.078468
0.218513,0,0,0,0,-0.0749022
0.214211,0,0,0,0,-0.0658459
0.207263,0,0,0,0,-0.0658459
0.202872,0,0,0,0,-0.0647287
0.209474,0,0,0,0,-0.0440132
0.219654,0,0,0,0,-0.020987
0.218842,0,0,0,0,-0.00877962
