lin_x,lin_y,lin_x,ang_x,ang_y,ang_z
0.219894,0,0,0,0,0.0528277
0.21892,0,0,0,0,0.0252768
0.213236,0,0,0,0,0.0109104
0.209304,0,0,0,0,-0.00158148
0.215093,0,0,0,0,-0.0144019
0.22,0,0,0,0,-0.0256408
0.219897,0,0,0,0,-0.0223402
0.217955,0,0,0,0,0.0311826
0.217014,0,0,0,0,0.126322
0.218956,0,0,0,0,0.175363
0.21988,0,0,0,0,0.164738
0.219394,0,0,0,0,0.108428
0.219513,0,0,0,0,0.046254
0.214394,0,0,0,0,0.0134746
0.208604,0,0,0,0,0.000654096
0.208421,0,0,0,0,4.96659E-11
0.208736,0,0,0,0,0.037094
0.214391,0,0,0,0,0.100714
0.219758,0,0,0,0,0.118731
0.219893,0,0,0,0,0.093572
0.219691,0,0,0,0,0.0669183
0.219392,0,0,0,0,0.0167618
0.217384,0,0,0,0,-0.0245156
0.211895,0,0,0,0,-0.0256409
0.210737,0,0,0,0,-0.0256409
0.216526,0,0,0,0,-0.0256409
0.2197,0,0,0,0,-0.0164206
0.219395,0,0,0,0,0.0329777
0.219589,0,0,0,0,0.066329
0.219894,0,0,0,0,0.0425716
0.22,0,0,0,0,0.025641
0.219895,0,0,0,0,0.0120836
0.219895,0,0,0,0,-0.0135573
0.22,0,0,0,0,-0.0256409
0.219408,0,0,0,0,-0.00800056
0.219395,0,0,0,0,0.0432341
0.219783,0,0,0,0,0.0895207
0.219796,0,0,0,0,0.115209
0.214779,0,0,0,0,0.104593
0.20899,0,0,0,0,0.078952
0.212214,0,0,0,0,0.0455857
0.218004,0,0,0,0,0.00712425
0.214211,0,0,0,0,0.00000000154283
0.208421,0,0,0,0,-2.04197E-10
0.208421,0,0,0,0,-3.86251E-14
0.21178,0,0,0,0,-0.029763
0.21178,0,0,0,0,-0.0682244
0.208421,0,0,0,0,-0.0769228
0.207828,0,0,0,0,-0.0577871
0.212027,0,0,0,0,-0.00488762
0.21841,0,0,0,0,0.0272586
0.219895,0,0,0,0,0.00695541
0.219895,0,0,0,0,-0.0186855
0.214211,0,0,0,0,-0.0256409
0.209594,0,0,0,0,-0.0318176
0.215383,0,0,0,0,-0.0574584
0.219699,0,0,0,0,-0.0669194
0.218637,0,0,0,0,-0.0012852
0.218832,0,0,0,0,0.0466605
0.219894,0,0,0,0,0.0323081
0.219895,0,0,0,0,0.00695541
0.219895,0,0,0,0,-0.0186855
0.215368,0,0,0,0,-0.0256409
0.209579,0,0,0,0,-0.0256409
0.211909,0,0,0,0,-0.0420738
0.217699,0,0,0,0,-0.0677147
0.22,0,0,0,0,-0.0769228
0.219897,0,0,0,0,-0.073341
0.219699,0,0,0,0,-0.0361506
0.218644,0,0,0,0,-0.00127094
0.213053,0,0,0,0,-2.99796E-10
0.208316,0,0,0,0,-0.00316286
0.212937,0,0,0,0,-0.0374552
0.217674,0,0,0,0,-0.0727538
0.213053,0,0,0,0,-0.0769228
0.208318,0,0,0,0,-0.0733404
0.207059,0,0,0,0,-0.0166658
0.208643,0,0,0,0,0.0407078
0.215692,0,0,0,0,0.0224946
0.22,0,0,0,0,-0.0128202
0.22,0,0,0,0,-0.0256407
0.208964,0,0,0,0,-0.0147588
0.197385,0,0,0,0,-0.00193837
0.204769,0,0,0,0,-0.0254302
0.216348,0,0,0,0,-0.0638916
0.218637,0,0,0,0,-0.0320541
0.218637,0,0,0,0,0.0448686
0.22,0,0,0,0,0.0769227
0.21861,0,0,0,0,0.0320619
0.218493,0,0,0,0,-0.0196374
0.219883,0,0,0,0,-0.0260584
0.214211,0,0,0,0,-0.0256409
0.208421,0,0,0,0,-0.0256409
